point,x_bohr,y_bohr,z_bohr,arclength_bohr,density_scf,density_frag,dengrad_mag,laplacian_scf
181,1.77039493,3.47491296,0.23307675,0.66367478,8.8983050330e-01,7.8637851490e-01,1.7531720032e+00,-4.3331130144e+00
182,1.77110414,3.47843621,0.23234980,0.66734150,8.8341505739e-01,7.8068459651e-01,1.7474890486e+00,-4.2946915682e+00
183,1.77181335,3.48195947,0.23162285,0.67100821,8.7702026888e-01,7.7501039315e-01,1.7418595815e+00,-4.2525807028e+00
184,1.77252255,3.48548273,0.23089590,0.67467492,8.7064599222e-01,7.6935559198e-01,1.7362678468e+00,-4.2070914918e+00
185,1.77323176,3.48900598,0.23016894,0.67834163,8.6429212490e-01,7.6371993056e-01,1.7306993931e+00,-4.1585171794e+00
186,1.77394097,3.49252924,0.22944199,0.68200834,8.5795858398e-01,7.5810317798e-01,1.7251409723e+00,-4.1071338724e+00
187,1.77465018,3.49605250,0.22871504,0.68567505,8.5164536983e-01,7.5250518858e-01,1.7195805239e+00,-4.0532019502e+00
188,1.77535939,3.49957575,0.22798809,0.68934176,8.4535252833e-01,7.4692586832e-01,1.7140070728e+00,-3.9969666526e+00
189,1.77606859,3.50309901,0.22726114,0.69300848,8.3908009689e-01,7.4136512691e-01,1.7084106158e+00,-3.9386583841e+00
190,1.77677780,3.50662227,0.22653419,0.69667519,8.3282818886e-01,7.3582295003e-01,1.7027821369e+00,-3.8784942515e+00
191,1.77748701,3.51014552,0.22580723,0.70034190,8.2659695405e-01,7.3029936623e-01,1.6971135119e+00,-3.8166784575e+00
192,1.77819622,3.51366878,0.22508028,0.70400861,8.2038652859e-01,7.2479440063e-01,1.6913974101e+00,-3.7534025031e+00
193,1.77890542,3.51719204,0.22435333,0.70767532,8.1419711591e-01,7.1930814647e-01,1.6856273148e+00,-3.6888466537e+00
194,1.77961463,3.52071529,0.22362638,0.71134203,8.0802893659e-01,7.1384071895e-01,1.6797974321e+00,-3.6231800937e+00
195,1.78032384,3.52423855,0.22289943,0.71500874,8.0188219110e-01,7.0839222405e-01,1.6739026057e+00,-3.5565611060e+00
196,1.78103305,3.52776181,0.22217248,0.71867546,7.9575714341e-01,7.0296283037e-01,1.6679383549e+00,-3.4891385477e+00
197,1.78174226,3.53128507,0.22144552,0.72234217,7.8965405327e-01,6.9755270930e-01,1.6619007694e+00,-3.4210516724e+00
198,1.78245146,3.53480832,0.22071857,0.72600888,7.8357322243e-01,6.9216207578e-01,1.6557865164e+00,-3.3524311605e+00
199,1.78316067,3.53833158,0.21999162,0.72967559,7.7751489758e-01,6.8679110079e-01,1.6495927075e+00,-3.2833985163e+00
200,1.78386988,3.54185484,0.21926467,0.73334230,7.7147939479e-01,6.8144002296e-01,1.6433169881e+00,-3.2140679383e+00
201,1.78457909,3.54537809,0.21853772,0.73700901,7.6546703492e-01,6.7610908978e-01,1.6369574429e+00,-3.1445460436e+00
202,1.78528829,3.54890135,0.21781076,0.74067573,7.5947809723e-01,6.7079851701e-01,1.6305125143e+00,-3.0749317455e+00
203,1.78599750,3.55242461,0.21708381,0.74434244,7.5351291468e-01,6.6550857119e-01,1.6239810771e+00,-3.0053177596e+00
204,1.78670671,3.55594786,0.21635686,0.74800915,7.4757182214e-01,6.6023952559e-01,1.6173623550e+00,-2.9357903849e+00
205,1.78741592,3.55947112,0.21562991,0.75167586,7.4165511035e-01,6.5499161796e-01,1.6106558450e+00,-2.8664293250e+00
206,1.78812513,3.56299438,0.21490296,0.75534257,7.3576311811e-01,6.4976513199e-01,1.6038613958e+00,-2.7973091102e+00
